bengali,english
"Giasuddin","গিয়াসুদ্দীন"
"Gias","গিয়াস"
"Gauhar","গওহার"
"Gani","গানী"
"Galib Gazanfar","গালিব গজনফর"
"Galib","গালিব"
"Gafur","গফুর"
"Gaffar","গাফফার"
"Huzaifa","হুযাইফা"
"Husainuddin","হুসাইনুদ্দীন"
"Husain Ahmad","হুসাইন আহমদ"
"Hujjat","হুজ্বাত"
"Hisham","হিশাম"
"Hilaluddin","হিলালুদ্দীন"
"Hifzur Rahman","হিফজুর রহমান"
"Hemet Uddin","হেমায়েত উদ্দীন"
"Hasin Shahad","হাসিন সাহাদ"
"Hasin Shadab","হাসিন শাদাব"
"Hasin Raihan","হাসিন রাইহান"
"Hashir","হাশির"
"Hashemi","হাশেমী) রাসূল (স."
"Harisuddin","হারিছুদ্দীন"
"Haris Ahmad","হারিস আহমদ"
"Haque","হাক্ক"
"Hannan","হান্নান"
"Hanifuddin","হানিফুদ্দীন"
"Hanif","হানিফ"
"Hamza","হামযাহ্"
"Muzzammil","মুযযাম্মিল"
"Muzaffar Latif","মুজাফফার লাতীফ"
"Mutee","মুতি"
"Mutawasset","মুতাওয়াসসিত"
"Mutasaddique","মুতাসাদ্দিক"
"Mutahhar","মুতাহহার"
"Munir","মুনীর"
"Munif Mujid","মুনিফ"
"Munem","মুনেম"
"Muneeb","মুনীব"
"Munawar Mesbah","মুনাওয়ার মেসবাহ্"
"Muminul Haque","মুমিনুল হক"
"Mumen Tajwar","মুমিন তাজওয়ার"
"Mumen Shahriyar","মুমিন শাহরিয়ার"
"Mumen","মুমিন"
"Mukhtar Ahmad","মুক্তার আহমদ"
"Mukhtar","মুখতার"
"Mukhlisur Rahman","মুখলিছুর রহমান"
"Nurur Rahman","নুরুর রহমান"
"Nurul Islam","নুরুল ইসলাম"
"Nurul Hasan","নুরুর হাসান"
"Nurul Haque","নুরুল হক"
"Noor","নূর"
"Niyaz","নিয়ায"
"Nesaruddin","নেছারউদ্দীন"
"Nesar","নেসার"
"Nejamuddin","নিজামুদ্দীন"
"Nazrul Islam","নজরুল ইসলাম"
"Nazmuddin","নাজমুদ্দীন"
"Nazir Ahmad","নাজির আহমদ"
"Nazir","নাযীর"
"Nazim","নাযীম"
"Nazari","নাযারী) রাসূল (স."
"Nayeemuddin","নাঈমুদ্দীন) দ্বীনের আত্মসমর্পনকারী Nayeem (নাঈম"
"Nayb","নায়ীব"
"Nayan","নয়ন"
"Natiq","নাতিক"
"Nasir Ahmad","নাছির আহমেদ"
"Qasem","কাসিম"
"Qareeb","কারীব"
"Obaidur Rahman","ওবায়দুর রহমান"
"Obaidul Haque","উবায়দুল হক"
"Ruknuddin","রুকুনদ্দীন"
"Rogib Absar","রাগীব আবসার"
"Rauf","রাউফ"
"Rasul","রাসূল"
"Rashid Taqi","রাশিদ তকী"
"Rashid Talib","রাশিদ তালিব"
"Rashid Abid","রাশিদ আবিদ"
"Rashid","রশিদ"
"Rakib","রাকীব"
"Rajib","রাজিব"
"Rajani","রজনী"
"Raisuddin","রঈসুদ্দীন"
"Raihanuddin","রায়হানুদ্দীন"
"Rahmat","রহমত"
"Rahman","রাহমান"
"Rahim","রাহীম"
"Rahat","রাহাত"
"Raghid Nadim","রাগীব নাদিম"
"Sultan Ahmad","সুলতান আহমদ"
"Sudip","সুদ্বীপ"
"Sirajul Islam","সিরাজুল ইসলাম"
"Sirajul Haque","সিরাজুল হক"
"Siddik Ahmad","ছিদ্দিক আহমদ"
"Shubhang","সুবাঙ"
"Shovan","শোভন"
"Shmsuddin","সামছুদ্দীন"
"Shishir","শিশির"
"shihabuddin","শিহাবুদ্দীন"
"Samar","সমর"
"Salimuddin","সলীমুদ্দীন"
"Salam","সালাম"
"Salahuddin","সালাউদ্দীন"
"Sakur","শাকুর"
"Sakib Salim","সাকিব সালিম"
"Sakhawat Husain","সাখাওয়াত হুসাইন"
"Sadekur Rahman","সাদেকুর রহমান"
"Saddam Husain","সাদ্দাম হুসাইন"
"Tushar","তুষার"
"Tofail Ahmad","তোফায়েল আহমদ"
"Tehami","তেহামী) রাসূল (স."
"Tayeb","তায়্যেব"
"Tauqir Tajammul","তাওকীর"
"Taslim","তসলীম"
"Ta-seen","তা-সীন) নবী (স:"
"Tariq","তারিক"
"Tarif Mahtab","তারিফ মাহতাব"
"Taqi Zaker","তকী যাকের"
"Taqi Yasir","তকী ইয়াসির"
"Taqi Tajwar","তকী তাজওয়ার"
"Taqi Tahmid","তকী তহমিদ"
"Tanvir Mahtab","তানভির মাহতাব"
"Tanvir Anjum","তানভির আনজুম"
"Tanvir","তানভীর"
"Talal Wasim","তালাল ওয়াসিম"
"uttam","উত্তম"
"Usama","উসামা"
"Usaid","উসাইদ"
"Umor","ওমর"
"Wali Hasan","ওয়ালী হাসান"
"Wakiluddin","ওয়াকিলুদ্দীন"
"Wahid Tausif","ওয়াহিদ তওসীম"
"Waez","ওয়ায়েয"
"Wadud","ওয়াদুদ"
"Yateem","ইয়াতীম"
"Yasar","ইয়াসার"
"Yaqin","ইয়াকীন"
"Zuhayr Wasim","জুহায়ের ওয়াসিম"
"Zuhayr Anjum","জুহায়ের আনজুম"
"Zillur Rahman","জিল্লুর রহমান"
"Ziaur Rahman","জিয়াউর রহমান"
"Ziaul Islam","জিয়াউল ইসলাম"
"Ziaul Hasan","জিয়াউল হাসান"
"Ziaul Haque","জিয়াউল হক"
"Ziauddin","জিয়াউদ্দীন"
"Zia","জিয়া"
"Zakyuddin","জকীউদ্দীন"
"Zaki","জাকি"
"Zaher","যাহের"
"Zahayr Akhtab","জুহায়ের আখতার"
